Row,Unfamiliar_Upright,Unfamiliar_Inverted,Familiar_Upright,Familiar_Inverted,Self_Upright,Self_Inverted
AG,7.10563156939621,30.4326578968493,6.42987817406623,16.1132450694038,3.54541958024717,5.32666249478351
AKM,4.63716867639439,7.01688439883875,2.38047614284762,1.90700463205171,0.476095228569523,6.64730521840743
AM,4.84561657583429,8.98220462915425,6.30211604674705,1.51877143331927,0.711805216802087,0.765941686205071
AP,5.61753207971852,8.77325481221194,8.84684501201794,7.6181800101249,0.476095228569523,2.11896201004171
CF,4.52842871939778,1.69213868619961,1.63605215890774,4.43771713083803,0.163299316185545,0.952190457139047
CG,4.90815647672321,14.8063049633143,2.02895703913776,3.54964786985977,11.4010233458814,4.58221198403857
CH,1.211060141639,8.55258245599928,1.24766448481419,1.20554275466834,0.191485421551268,0.2
DA,0.673300329224139,4.31238526417419,6.27800392906323,5.63086731034098,0.341565025531987,0.282842712474619
EA,4.31277173056957,7.78203058333749,7.0427267446636,4.32781700167648,0.191485421551268,2.20907220343745
EC,8.39126529990164,8.39265551936136,5.4561891462815,3.30454232837166,0.525991127935317,10.7368524251756
ER,0.443471156521669,1.14309521329882,0.4,7.03775532396516,0.1,0.191485421551268
HH,0.94339811320566,8.66333269206103,3.62767142944341,4.1097445176069,0.5,2.45492701860293
IH,4.30619708482245,7.95214855662711,2.02649122047609,1.93476958145753,4.24695969684981,3.95137107006332
JB,4.32357876455759,1.87882942280559,2.64575131106459,8.90243412406592,1.78418982547635,5.53052137385497
JN,4.51774279923061,3.30857471831402,4.41323766260856,5.86969618748137,5.64830358013212,4.27823951332009
JR,6.18465843842649,2.28837642591132,1.79907383580182,8.89868904202561,1.36626010212795,0.412310562561766
JS,7.20439680565509,8.95525916245123,3.58887168898527,5.60089278597618,2.15638586528478,6.34218679426374
JT,6.70223843204642,4.18051033567275,1.32664991614216,3.11982905514602,1.11952370824978,0.574456264653803
KD,0.115470053837925,1.73108828967984,4.25949918808929,0,0.163299316185545,3.23470761172217
KG,2.3832750575626,3.30050501186308,5.58181571414416,2.31516738055804,0.632455532033676,5.4561891462815
KM1,4.36653943835008,13.5676084849173,5.32415877549371,5.72334401086172,0.432049379893857,8.46246614961226
KO,8.32426172902638,1.98913716637809,5.34009987422208,2.66020049369717,1.97568553503166,3.72871738448134
LD,0.412310562561766,12.4100765509323,1.4,9.76797488394259,2.6,2.17562251627743
LS,1.52315462117278,3.36402536653139,0.258198889747161,4.53431361950185,5.53413648789643,3.20416395751944
NP,8.82628649735172,6.58153984008808,0.90921211313239,4.75359513070546,0.5,0.1
RG,1.39522996909709,1.80739222823013,4.08697116864474,3.63684845252956,2.47924719757161,1.46515073172239
RJ,4.75920161371632,4.4929574521318,2.86123516451666,7.77410230616157,0.871779788708135,1.61658075373095
SH,0.341565025531987,9.19710099252295,1.46969384566991,3.87255299081454,3.4423828956117,0.1
SP,3.35857112474933,2.89597421719646,3.74655397220788,2.32665711554869,9.11610296855698,4.13884041731498
WJ,9.52662934445687,21.4751794715046,3.85183938744422,4.98531175889064,0.472581562625261,5.21152568831815
